,Convention on Biological Diversity,United Nations Framework Convention on Climate Change,Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Montreal Protocol on Substances that Deplete the Ozone Layer,Convention concerning the Protection of the World Cultural and Natural Heritage,Agreement on the Conservation of European Bats,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Vienna Convention for the Protection of the Ozone Layer,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention on the Conservation of Migratory Species of Wild Animals,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region
"Sep 20, 2003 Tribute to the Government of Switzerland","(0.34693877551020413, 'convention attending conference expresses sincere')","(0.36250000000000004, 'geneva members delegations observers secretariat convention attending conference')","(0.3207547169811321, 'secretariat convention attending conference expresses sincere gratitude government switzerland authorities')","(0.2962962962962963, 'significantly smooth conduct proceedings deeply appreciative courtesy hospitality')","(0.31868131868131866, 'invitation government switzerland convinced efforts made government switzerland authorities')","(0.32692307692307687, 'rc tribute government switzerland conference parties')","(0.3142857142857143, 'resources contributed significantly smooth conduct proceedings deeply appreciative courtesy hospitality extended government switzerland city')","(0.3076923076923077, 'switzerland conference parties met geneva september gracious invitation government switzerland convinced efforts made')","(0.3414634146341463, 'secretariat convention attending conference expresses sincere gratitude government')","(0.32499999999999996, 'switzerland city geneva members delegations observers secretariat convention attending conference expresses sincere gratitude government switzerland authorities')","(0.2894736842105263, 'september gracious invitation government switzerland convinced efforts made government switzerland authorities city geneva providing facilities premises')","(0.3380281690140845, 'observers secretariat convention attending conference expresses sincere')","(0.34065934065934067, 'invitation government switzerland convinced efforts made government switzerland authorities')","(0.3207547169811321, 'secretariat convention attending conference expresses sincere gratitude government switzerland authorities')","(0.323943661971831, 'government switzerland conference parties met geneva september gracious')","(0.3584905660377359, 'secretariat convention attending conference expresses sincere gratitude government switzerland authorities')"
"Sep 20, 2003 Encouragement of the World Customs Organization to assign specific Harmonized System codes to the chemicals","(0.43243243243243246, 'convention require that whenever code')","(0.3787878787878788, 'obligation article paragraph convention require that whenever code')","(0.32499999999999996, 'established convention noting great appreciation work already done world customs')","(0.30000000000000004, 'document chemical bears code exported noting chemicals added')","(0.4024390243902439, 'convention world customs organization encourages world customs organization assign')","(0.3508771929824561, 'already done world customs organization intergovernmental')","(0.36220472440944884, 'rotterdam convention world customs organization encourages world customs organization assign specific harmonized system customs')","(0.3214285714285714, 'provides conference parties shall encourage world customs organization assign specific harmonized system customs')","(0.30000000000000004, 'welcomes cooperation secretariat rotterdam convention world customs organization')","(0.28205128205128205, 'negotiating committee welcomes cooperation secretariat rotterdam convention world customs organization encourages world customs organization assign specific')","(0.3141025641025641, 'negotiating committee welcomes cooperation secretariat rotterdam convention world customs organization encourages world customs organization assign specific')","(0.42622950819672134, 'that article paragraph convention provides conference parties')","(0.345679012345679, 'convention provides conference parties shall encourage world customs organization')","(0.3522727272727273, 'convention provides conference parties shall encourage world customs organization assign')","(0.4, 'convention world customs organization encourages world customs organization')","(0.3522727272727273, 'convention provides conference parties shall encourage world customs organization assign')"
"Oct 29, 2001 Procedures and mechanisms relating to compliance under the Kyoto Protocol","(0.29032258064516125, 'page ii iii iv vi')","(0.28, 'i d i i fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english iii')","(0.3125, 'sbsta fccc sbsta fccc cp add page i')","(0.25, 'vii i c i i fccc cp add page')","(0.2222222222222222, 'ge fccc cp add page i')","(0.2232142857142857, 'distr general fccc cp add january russian original english iii ii ge fccc cp')","(0.24390243902439024, 'page i vii fccc cp add page fccc sbsta fccc sbsta fccc cp')","(0.25, 'page fccc sbsta fccc sbsta fccc cp add')","(0.2384615384615385, 'fccc cp add page i i i fccc cp add page ne n i i i')","(0.26356589147286824, 'add january russian original english iii ii ge fccc cp add page i ii i fccc')","(0.275, 'vii vii v fccc cp add page')","(0.2465753424657534, 'page i vii fccc cp add page fccc sbsta')","(0.25757575757575757, 'ii ge fccc cp add page i ii i fccc')","(0.2407407407407407, 'vi vii iv v fccc cp add page')","(0.22666666666666668, 'russian original english iii ii ge fccc cp add page')"
"Sep 20, 2003 Settlement of disputes","(0.46808510638297873, 'convention written notification addressed party')","(0.5, 'united nations shall make designation within two month')","(0.36708860759493667, 'article convention contained annex present decision annex settlement disputes a')","(0.38095238095238093, 'arbitral tribunal procedure substance shall taken majority vote')","(0.375, 'vi rotterdam convention setting arbitration procedure purposes paragraph article')","(0.390625, 'disagreement whether conciliation commission competence consider')","(0.8888888888888888, 'rotterdam convention prior informed consent procedure certain hazardous chemicals pesticides international trade shall follows')","(0.37142857142857144, 'agreement third arbitrator shall president tribunal president tribunal shall national one parties dispute')","(0.3384615384615385, 'president conciliation commission chosen within two months fourth')","(0.3137254901960784, 'arbitration procedure purposes paragraph article convention conciliation procedure purposes paragraph article convention contained annex present decision')","(0.3410852713178295, 'united nations shall request party designate president within two month period rc article arbitral tribunal shall')","(0.4354838709677419, 'vi rotterdam convention setting arbitration procedure purposes')","(0.3733333333333333, 'convention international law article unless parties dispute agree otherwise')","(0.47619047619047616, 'convention international law article unless parties dispute agree otherwise arbitral')","(0.4461538461538461, 'convention international law article unless parties dispute agree')","(0.3738317757009346, 'commission obligation protect confidentiality information receive confidence proceedings commission article')"
"Oct 29, 2001 Improving the participation of women in the representation of Parties in bodies established under the Unite","(0.25806451612903225, 'cp ii ii ii c')","(0.28, 'cp add page cp fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english iv')","(0.22916666666666663, 'cp add page cp fccc cp add page')","(0.25, 'cp cp cp i i fccc cp add page')","(0.25, 'page fccc cp add page a')","(0.2410714285714286, 'distr general fccc cp add january russian original english iv iii cp cp ii')","(0.25609756097560976, 'page fccc cp add page fccc cp add page fccc sbi fccc sbi')","(0.23333333333333328, 'fccc cp add january russian original english iv')","(0.2384615384615385, 'distr general fccc cp add january russian original english iv iii cp cp ii cp ge')","(0.2325581395348837, 'add january russian original english iv iii cp cp ii cp ge fccc cp add page')","(0.25, 'ii cp ge fccc cp add page')","(0.23287671232876717, 'cp add page fccc cp add page a i')","(0.25757575757575757, 'russian original english iv iii cp cp ii cp ge')","(0.2222222222222222, 'add january russian original english iv iii cp')","(0.24, 'russian original english iv iii cp cp ii cp ge')"
"Oct 29, 2001 Guidelines for the preparation of national adaptation programmes of action","(0.25806451612903225, 'cp ii ii ii c')","(0.28, 'cp add page cp fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english iv')","(0.22916666666666663, 'cp add page cp fccc cp add page')","(0.25, 'cp cp cp i i fccc cp add page')","(0.25, 'page fccc cp add page a')","(0.2410714285714286, 'distr general fccc cp add january russian original english iv iii cp cp ii')","(0.25609756097560976, 'page fccc cp add page fccc cp add page fccc sbi fccc sbi')","(0.23333333333333328, 'fccc cp add january russian original english iv')","(0.2384615384615385, 'distr general fccc cp add january russian original english iv iii cp cp ii cp ge')","(0.2325581395348837, 'add january russian original english iv iii cp cp ii cp ge fccc cp add page')","(0.25, 'ii cp ge fccc cp add page')","(0.23287671232876717, 'cp add page fccc cp add page a i')","(0.25757575757575757, 'russian original english iv iii cp cp ii cp ge')","(0.2222222222222222, 'add january russian original english iv iii cp')","(0.24, 'russian original english iv iii cp cp ii cp ge')"
"Oct 29, 2001 Implementation of Article 4, paragraph 8 and 9, of the Convention decision 3CP3 and Article 2, paragraph 3,","(0.2647058823529411, 'january russian original english i')","(0.28, 'cp add page c fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english i')","(0.29166666666666663, 'page c fccc sbsta fccc sbsta inf fccc')","(0.234375, 'fccc cp add january russian original english i ii')","(0.25, 'a res s fccc cp add')","(0.2321428571428571, 'distr general fccc cp add january russian original english i ii ge fccc cp')","(0.2682926829268293, 'page fccc cp add page cp fccc sb fccc sb add fccc sbsta')","(0.23333333333333328, 'fccc cp add january russian original english i')","(0.2384615384615385, 'distr general fccc cp add january russian original english i ii ge fccc cp add page')","(0.24806201550387597, 'add january russian original english i ii ge fccc cp add page p fccc cp add')","(0.25, 'ii cp ii fccc cp add page')","(0.23287671232876717, 'russian original english i ii ge fccc cp add')","(0.25757575757575757, 'ii iii fccc cp add page fccc cp add fccc')","(0.2222222222222222, 'add january russian original english i ii ge')","(0.24, 'russian original english i ii ge fccc cp add page')"
"Sep 20, 2003 Establishment of a financial mechanism for the implementation of the Rotterdam Convention","(0.47058823529411764, 'convention set special fund noting')","(0.39682539682539686, 'concerted efforts parties rotterdam convention set special fund')","(0.30612244897959184, 'mechanisms organizations financial institutions convention secretariats rc factor budget financial')","(0.4027777777777778, 'fund montreal protocol global mechanism combating desertification global')","(0.39473684210526316, 'convention mechanisms include limited to multilateral fund montreal protocol')","(0.375, 'agreements possible financial mechanism well new')","(0.3652173913043478, 'rotterdam convention set special fund noting however limitations relate voluntary nature contributions fund decides')","(0.3412698412698413, 'agreements possible financial mechanism well new additional financial resources implementation rotterdam convention mechanisms')","(0.3382352941176471, 'meeting conference parties making sure options operational effective')","(0.2993630573248408, 'developed basel convention stockholm convention making full use coordination exchange information partnership mechanisms organizations financial institutions')","(0.36363636363636365, 'implementation rotterdam convention conference parties aware extent negative impact chemical products health environment developing countries particularly')","(0.4423076923076923, 'rotterdam convention set special fund noting however')","(0.37349397590361444, 'convention making full use coordination exchange information partnership mechanisms')","(0.3846153846153846, 'convention set special fund noting however limitations relate voluntary nature')","(0.417910447761194, 'convention conference parties aware extent negative impact chemical')","(0.3647058823529412, 'mechanism combating desertification global environment facility carbon fund others ii')"
"Oct 29, 2001 Modalities for accounting of assigned amounts under Article 7, paragraph 4, of the Kyoto Protocol","(0.29032258064516125, 'iv ii iii iv vi')","(0.28, 'mutatis mutandis i i fccc cp add page')","(0.2702702702702703, 'page fccc cp add page fccc cp add page iso')","(0.27083333333333337, 'mutatis mutandis i i fccc cp add page')","(0.234375, 'fccc cp add january russian original english ii ii')","(0.2777777777777778, 'add page cmp mutatis mutandis i')","(0.2321428571428571, 'distr general fccc cp add january russian original english ii ii ge fccc cp')","(0.25609756097560976, 'page cmp mutatis mutandis i i fccc cp add page fccc cp add')","(0.2833333333333333, 'page fccc cp add page cmp mutatis mutandis')","(0.2384615384615385, 'distr general fccc cp add january russian original english ii ii ge fccc cp add page')","(0.2558139534883721, 'add january russian original english ii ii ge fccc cp add page i i i fccc')","(0.25, 'iii iv vi fccc cp add page')","(0.26027397260273977, 'mutatis mutandis i i fccc cp add page fccc')","(0.25757575757575757, 'ii ge fccc cp add page i i i fccc')","(0.2592592592592593, 'cp add page cmp mutatis mutandis i i')","(0.24, 'russian original english ii ii ge fccc cp add page')"
"Oct 29, 2001 Programme budget for the biennium 20022003","(0.25806451612903225, 'cp ii ii ii c')","(0.28, 'cp add page cp fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english iv')","(0.22916666666666663, 'cp add page cp fccc cp add page')","(0.25, 'cp cp cp i i fccc cp add page')","(0.25, 'page fccc cp add page a')","(0.2410714285714286, 'distr general fccc cp add january russian original english iv iii cp cp ii')","(0.25609756097560976, 'page fccc cp add page fccc cp add page fccc sbi fccc sbi')","(0.23333333333333328, 'fccc cp add january russian original english iv')","(0.2384615384615385, 'distr general fccc cp add january russian original english iv iii cp cp ii cp ge')","(0.2325581395348837, 'add january russian original english iv iii cp cp ii cp ge fccc cp add page')","(0.25, 'ii cp ge fccc cp add page')","(0.23287671232876717, 'cp add page fccc cp add page a i')","(0.25757575757575757, 'russian original english iv iii cp cp ii cp ge')","(0.2222222222222222, 'add january russian original english iv iii cp')","(0.24, 'russian original english iv iii cp cp ii cp ge')"
"Oct 29, 2001 Impact of single projects on emissions in the commitment period","(0.2647058823529411, 'january russian original english i')","(0.28, 'cp add page c fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english i')","(0.29166666666666663, 'page c fccc sbsta fccc sbsta inf fccc')","(0.234375, 'fccc cp add january russian original english i ii')","(0.25, 'a res s fccc cp add')","(0.2321428571428571, 'distr general fccc cp add january russian original english i ii ge fccc cp')","(0.2682926829268293, 'page fccc cp add page cp fccc sb fccc sb add fccc sbsta')","(0.23333333333333328, 'fccc cp add january russian original english i')","(0.2384615384615385, 'distr general fccc cp add january russian original english i ii ge fccc cp add page')","(0.24806201550387597, 'add january russian original english i ii ge fccc cp add page p fccc cp add')","(0.25, 'ii cp ii fccc cp add page')","(0.23287671232876717, 'russian original english i ii ge fccc cp add')","(0.25757575757575757, 'ii iii fccc cp add page fccc cp add fccc')","(0.2222222222222222, 'add january russian original english i ii ge')","(0.24, 'russian original english i ii ge fccc cp add page')"
"Oct 29, 2001 Other matters relating to communications from Parties not included in Annex I to the Convention","(0.25806451612903225, 'cp ii ii ii c')","(0.28, 'cp add page cp fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english iv')","(0.22916666666666663, 'cp add page cp fccc cp add page')","(0.25, 'cp cp cp i i fccc cp add page')","(0.25, 'page fccc cp add page a')","(0.2410714285714286, 'distr general fccc cp add january russian original english iv iii cp cp ii')","(0.25609756097560976, 'page fccc cp add page fccc cp add page fccc sbi fccc sbi')","(0.23333333333333328, 'fccc cp add january russian original english iv')","(0.2384615384615385, 'distr general fccc cp add january russian original english iv iii cp cp ii cp ge')","(0.2325581395348837, 'add january russian original english iv iii cp cp ii cp ge fccc cp add page')","(0.25, 'ii cp ge fccc cp add page')","(0.23287671232876717, 'cp add page fccc cp add page a i')","(0.25757575757575757, 'russian original english iv iii cp cp ii cp ge')","(0.2222222222222222, 'add january russian original english iv iii cp')","(0.24, 'russian original english iv iii cp cp ii cp ge')"
"Oct 29, 2001 Request from a group of countries of Central Asia, Caucasus, Albania and Moldova countries on their status ","(0.25806451612903225, 'cp ii ii ii c')","(0.28, 'cp add page cp fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english iv')","(0.22916666666666663, 'cp add page cp fccc cp add page')","(0.25, 'cp cp cp i i fccc cp add page')","(0.25, 'page fccc cp add page a')","(0.2410714285714286, 'distr general fccc cp add january russian original english iv iii cp cp ii')","(0.25609756097560976, 'page fccc cp add page fccc cp add page fccc sbi fccc sbi')","(0.23333333333333328, 'fccc cp add january russian original english iv')","(0.2384615384615385, 'distr general fccc cp add january russian original english iv iii cp cp ii cp ge')","(0.2325581395348837, 'add january russian original english iv iii cp cp ii cp ge fccc cp add page')","(0.25, 'ii cp ge fccc cp add page')","(0.23287671232876717, 'cp add page fccc cp add page a i')","(0.25757575757575757, 'russian original english iv iii cp cp ii cp ge')","(0.2222222222222222, 'add january russian original english iv iii cp')","(0.24, 'russian original english iv iii cp cp ii cp ge')"
"Oct 29, 2001 Matters relating to Article 3, paragraph 14, of the Kyoto Protocol","(0.2647058823529411, 'january russian original english i')","(0.28, 'cp add page c fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english i')","(0.29166666666666663, 'page c fccc sbsta fccc sbsta inf fccc')","(0.234375, 'fccc cp add january russian original english i ii')","(0.25, 'a res s fccc cp add')","(0.2321428571428571, 'distr general fccc cp add january russian original english i ii ge fccc cp')","(0.2682926829268293, 'page fccc cp add page cp fccc sb fccc sb add fccc sbsta')","(0.23333333333333328, 'fccc cp add january russian original english i')","(0.2384615384615385, 'distr general fccc cp add january russian original english i ii ge fccc cp add page')","(0.24806201550387597, 'add january russian original english i ii ge fccc cp add page p fccc cp add')","(0.25, 'ii cp ii fccc cp add page')","(0.23287671232876717, 'russian original english i ii ge fccc cp add')","(0.25757575757575757, 'ii iii fccc cp add page fccc cp add fccc')","(0.2222222222222222, 'add january russian original english i ii ge')","(0.24, 'russian original english i ii ge fccc cp add page')"
"Oct 29, 2001 Income and budget performance in the biennium 20002001 and arrangements for administrative support to the C","(0.25806451612903225, 'cp ii ii ii c')","(0.28, 'cp add page cp fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english iv')","(0.22916666666666663, 'cp add page cp fccc cp add page')","(0.25, 'cp cp cp i i fccc cp add page')","(0.25, 'page fccc cp add page a')","(0.2410714285714286, 'distr general fccc cp add january russian original english iv iii cp cp ii')","(0.25609756097560976, 'page fccc cp add page fccc cp add page fccc sbi fccc sbi')","(0.23333333333333328, 'fccc cp add january russian original english iv')","(0.2384615384615385, 'distr general fccc cp add january russian original english iv iii cp cp ii cp ge')","(0.2325581395348837, 'add january russian original english iv iii cp cp ii cp ge fccc cp add page')","(0.25, 'ii cp ge fccc cp add page')","(0.23287671232876717, 'cp add page fccc cp add page a i')","(0.25757575757575757, 'russian original english iv iii cp cp ii cp ge')","(0.2222222222222222, 'add january russian original english iv iii cp')","(0.24, 'russian original english iv iii cp cp ii cp ge')"
"Oct 29, 2001 Modalities and procedures for a clean development mechanism, as defined in Article 12 of the Kyoto Protocol","(0.29032258064516125, 'iv ii iii iv vi')","(0.28, 'mutatis mutandis i i fccc cp add page')","(0.2702702702702703, 'page fccc cp add page fccc cp add page iso')","(0.27083333333333337, 'mutatis mutandis i i fccc cp add page')","(0.234375, 'fccc cp add january russian original english ii ii')","(0.2777777777777778, 'add page cmp mutatis mutandis i')","(0.2321428571428571, 'distr general fccc cp add january russian original english ii ii ge fccc cp')","(0.25609756097560976, 'page cmp mutatis mutandis i i fccc cp add page fccc cp add')","(0.2833333333333333, 'page fccc cp add page cmp mutatis mutandis')","(0.2384615384615385, 'distr general fccc cp add january russian original english ii ii ge fccc cp add page')","(0.2558139534883721, 'add january russian original english ii ii ge fccc cp add page i i i fccc')","(0.25, 'iii iv vi fccc cp add page')","(0.26027397260273977, 'mutatis mutandis i i fccc cp add page fccc')","(0.25757575757575757, 'ii ge fccc cp add page i i i fccc')","(0.2592592592592593, 'cp add page cmp mutatis mutandis i i')","(0.24, 'russian original english ii ii ge fccc cp add page')"
